#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-0224    0.5774507     15.493      0.439      0.205     14.470      0.396      0.183     -0.057     -0.056     -0.018      0.044
OGLE-LMC-CEP-0225    0.6466539     15.591      0.466      0.254     14.887      0.472      0.240      0.104     -0.026     -0.117      0.040
OGLE-LMC-CEP-0226    0.4165035     16.380      0.476      0.242     15.613      0.478      0.261     -0.045     -0.107      0.086      0.152
OGLE-LMC-CEP-0227    0.5794455     15.332      0.414      0.329     14.451      0.352      0.285      0.075      0.081     -0.319     -0.222
OGLE-LMC-CEP-0229    0.6593005     16.113      0.460      0.240     15.206      0.462      0.246      0.058     -0.067     -0.050      0.083
OGLE-LMC-CEP-0230    0.5671184     15.967      0.469      0.274     15.227      0.455      0.242      0.068     -0.012     -0.076      0.064
OGLE-LMC-CEP-0235    0.6778087     16.002      0.264      0.031     15.120      0.285      0.056     -0.083      0.104      0.021     -0.150
OGLE-LMC-CEP-0236    0.5180562     16.527      0.363      0.146     15.644      0.364      0.156     -0.005      0.024      0.005     -0.021
OGLE-LMC-CEP-0237    0.5082135     16.033      0.474      0.254     15.325      0.472      0.258     -0.039     -0.087      0.011      0.091
OGLE-LMC-CEP-0238    0.3989452     16.600      0.432      0.241     15.834      0.448      0.235      0.015     -0.057      0.025      0.090
OGLE-LMC-CEP-0239    0.6767672     15.736      0.447      0.215     14.950      0.449      0.216      0.128      0.008     -0.124      0.019
OGLE-LMC-CEP-0246    0.6368041     15.351      0.453      0.228     14.715      0.453      0.225      0.042     -0.069     -0.006      0.088
OGLE-LMC-CEP-0250    0.7910050     15.226      0.419      0.104     14.463      0.391      0.125      0.183      0.104     -0.210     -0.115
OGLE-LMC-CEP-0253    0.3186885     16.667      0.428      0.244     15.904      0.456      0.260     -0.128     -0.168      0.139      0.137
OGLE-LMC-CEP-0254    0.4451921     16.389      0.481      0.243     15.649      0.444      0.238      0.062     -0.027     -0.055      0.062
OGLE-LMC-CEP-0255    0.5121012     15.972      0.473      0.244     15.309      0.477      0.282      0.058     -0.069     -0.047      0.106
OGLE-LMC-CEP-0257    0.7944788     15.388      0.382      0.110     14.579      0.355      0.079      0.188      0.157     -0.182     -0.144
OGLE-LMC-CEP-0258    0.7011847     15.548      0.353      0.136     14.744      0.338      0.132     -0.076     -0.006      0.003     -0.106
OGLE-LMC-CEP-0262    0.4548993     16.277      0.433      0.211     15.522      0.422      0.217     -0.030     -0.056      0.008      0.038
OGLE-LMC-CEP-0263    0.3277521     16.683      0.453      0.287     15.960      0.490      0.290     -0.064     -0.136      0.111      0.166
OGLE-LMC-CEP-0264    0.5819848     15.949      0.459      0.241     15.122      0.448      0.246      0.040     -0.053      0.013      0.101
OGLE-LMC-CEP-0266    0.5157634     16.563      0.394      0.178     15.659      0.396      0.174     -0.087     -0.040     -0.009     -0.025
OGLE-LMC-CEP-0267    0.4457339     16.576      0.410      0.192     15.714      0.421      0.224      0.026     -0.066      0.024      0.084
OGLE-LMC-CEP-0269    0.5819998     15.842      0.467      0.278     15.119      0.476      0.278      0.113     -0.037     -0.044      0.106
OGLE-LMC-CEP-0270    0.5565163     15.669      0.364      0.165     15.166      0.375      0.148     -0.018     -0.047     -0.032     -0.048
OGLE-LMC-CEP-0271    0.4361916     16.329      0.320      0.115     15.539      0.347      0.123     -0.141     -0.030      0.138     -0.006
OGLE-LMC-CEP-0272    0.4700939     16.215      0.427      0.236     15.511      0.433      0.225     -0.007     -0.083     -0.006      0.064
OGLE-LMC-CEP-0273    0.4939322     16.142      0.423      0.204     15.405      0.421      0.211     -0.016     -0.053     -0.031      0.023
OGLE-LMC-CEP-0274    0.6556858     15.721      0.391      0.324     14.927      0.466      0.233      0.109     -0.062     -0.102      0.067
OGLE-LMC-CEP-0275    0.4882449     16.359      0.282      0.095     15.558      0.319      0.096     -0.120      0.057      0.100     -0.076
OGLE-LMC-CEP-0276    0.3695686     16.497      0.454      0.220     15.764      0.472      0.244     -0.027     -0.166      0.075      0.126
OGLE-LMC-CEP-0278    0.6083870     16.079      0.468      0.228     15.220      0.447      0.227      0.079      0.001     -0.129      0.011
OGLE-LMC-CEP-0279    0.7581246     15.499      0.425      0.171     14.715      0.412      0.162      0.214      0.097     -0.232     -0.063
OGLE-LMC-CEP-0280    0.5134393     16.169      0.417      0.194     15.379      0.416      0.193     -0.004     -0.017     -0.006      0.032
OGLE-LMC-CEP-0281    0.4135857     17.096      0.439      0.191     16.140      0.440      0.204     -0.090     -0.110      0.030      0.052
OGLE-LMC-CEP-0282    0.4507256     16.609      0.437      0.209     15.750      0.434      0.207     -0.065     -0.092      0.046      0.059
OGLE-LMC-CEP-0285    0.3631129     16.738      0.440      0.213     15.936      0.458      0.231     -0.070     -0.099      0.062      0.091
OGLE-LMC-CEP-0286    0.4960293     15.940      0.495      0.258     15.047      0.486      0.279      0.017     -0.083      0.024      0.124
OGLE-LMC-CEP-0289    0.1651451     17.145      0.416      0.226     16.437      0.436      0.235     -0.147     -0.192      0.215      0.168
OGLE-LMC-CEP-0290    0.6278031     15.747      0.302      0.081     14.965      0.297      0.090     -0.014      0.052      0.008     -0.073
OGLE-LMC-CEP-0291    0.5754328     16.079      0.436      0.216     15.280      0.436      0.226      0.077     -0.018     -0.078      0.034
OGLE-LMC-CEP-0292    0.8691687     14.858      0.354      0.204     14.160      0.346      0.213      0.214      0.068     -0.137     -0.011
OGLE-LMC-CEP-0293    0.4980061     16.235      0.450      0.199     15.434      0.414      0.203      0.015     -0.034      0.039      0.094
OGLE-LMC-CEP-0295    0.4449314     16.333      0.474      0.271     15.586      0.496      0.282      0.004     -0.132      0.035      0.137
OGLE-LMC-CEP-0296    0.5666452     16.160      0.402      0.186     15.308      0.404      0.180      0.048      0.045     -0.040      0.006
OGLE-LMC-CEP-0299    0.5392422     16.053      0.436      0.219     15.301      0.438      0.237      0.052     -0.068     -0.058      0.048
OGLE-LMC-CEP-0301    0.5245495     16.379      0.454      0.250     15.534      0.455      0.248      0.041     -0.053     -0.061      0.071
OGLE-LMC-CEP-0303    0.1838034     17.548      0.465      0.299     16.742      0.470      0.293     -0.151     -0.201      0.190      0.207
OGLE-LMC-CEP-0304    0.5625743     16.168      0.421      0.197     15.347      0.411      0.179     -0.016     -0.009     -0.027     -0.018
OGLE-LMC-CEP-0306    0.8380286     15.213      0.450      0.188     14.368      0.432      0.169      0.196      0.077     -0.150     -0.012
OGLE-LMC-CEP-0308    0.8309742     15.520      0.203      0.027     14.654      0.223      0.005      0.016      0.244     -0.060     -0.302
OGLE-LMC-CEP-0313    0.4910765     16.391      0.439      0.217     15.548      0.431      0.213      0.041      0.021      0.008      0.053
OGLE-LMC-CEP-0316    0.5723113     15.890      0.450      0.249     15.149      0.440      0.233     -0.003     -0.074     -0.030      0.052
OGLE-LMC-CEP-0317    0.4938066     16.450      0.382      0.196     15.613      0.369      0.153     -0.153     -0.055      0.062     -0.032
OGLE-LMC-CEP-0319    0.4135678     16.346      0.417      0.194     15.591      0.437      0.211     -0.028     -0.077      0.078      0.097
OGLE-LMC-CEP-0321    0.5179568     16.263      0.472      0.250     15.407      0.449      0.257      0.022     -0.068     -0.040      0.059
OGLE-LMC-CEP-0322    0.3772014     16.211      0.369      0.525     15.671      0.452      0.226     -0.135     -0.188      0.150      0.193
OGLE-LMC-CEP-0324    0.5038713     17.125      0.467      0.250     16.045      0.480      0.269      0.049     -0.058     -0.068      0.060
OGLE-LMC-CEP-0325    0.5041758     16.327      0.447      0.225     15.515      0.443      0.229     -0.016     -0.059     -0.016      0.050
OGLE-LMC-CEP-0329    0.5941225     15.827      0.404      0.197     15.069      0.403      0.192      0.078      0.007     -0.074      0.001
OGLE-LMC-CEP-0331    0.8369956     15.450      0.351      0.073     14.496      0.362      0.081      0.221      0.191     -0.182     -0.140
OGLE-LMC-CEP-0332    0.6330600     15.487      0.162      0.037     14.699      0.176      0.023     -0.100      0.177      0.162     -0.224
OGLE-LMC-CEP-0333    0.7442656     15.658      0.400      0.135     14.786      0.396      0.128      0.173      0.105     -0.113     -0.034
OGLE-LMC-CEP-0335    0.4579954     16.334      0.363      0.190     15.600      0.411      0.179     -0.069     -0.048      0.020      0.040
OGLE-LMC-CEP-0337    0.4594655     16.602      0.466      0.246     15.764      0.466      0.260     -0.027     -0.099      0.023      0.108
OGLE-LMC-CEP-0339    0.4575223     16.312      0.454      0.236     15.512      0.444      0.230     -0.001     -0.078      0.025      0.091
OGLE-LMC-CEP-0340    0.3313249     16.716      0.331      0.082     16.010      0.302      0.106     -0.128      0.000      0.132     -0.057
OGLE-LMC-CEP-0345    0.4263200     17.178      0.278      0.089     16.187      0.290      0.091     -0.167      0.007      0.104     -0.092
OGLE-LMC-CEP-0346    0.4837944     16.778      0.392      0.223     15.881      0.418      0.204      0.000     -0.011     -0.027      0.013
OGLE-LMC-CEP-0349    0.4828551     16.936      0.437      0.241     15.944      0.454      0.227     -0.012     -0.052     -0.013      0.056
OGLE-LMC-CEP-0350    0.4585586     16.852      0.414      0.182     15.915      0.395      0.167     -0.082     -0.034      0.059      0.003
OGLE-LMC-CEP-0351    0.5441804     16.682      0.379      0.152     15.725      0.389      0.159     -0.044     -0.001     -0.042     -0.056
OGLE-LMC-CEP-0352    0.5473276     15.980      0.430      0.223     15.212      0.435      0.228     -0.025     -0.079     -0.023      0.042
OGLE-LMC-CEP-0353    0.5523264     15.838      0.508      0.258     15.166      0.478      0.279      0.040     -0.060     -0.066      0.082
OGLE-LMC-CEP-0354    0.3504692     16.503      0.426      0.219     15.778      0.424      0.219     -0.038     -0.081      0.082      0.095
OGLE-LMC-CEP-0356    1.1032510     14.542      0.326      0.232     13.673      0.286      0.186     -0.038     -0.140      0.014      0.169
OGLE-LMC-CEP-0357    0.6415563     15.901      0.420      0.171     15.098      0.417      0.175      0.108      0.057     -0.166     -0.081
OGLE-LMC-CEP-0359    0.8160057     15.320      0.322      0.065     14.575      0.330      0.087      0.207      0.152     -0.193     -0.114
OGLE-LMC-CEP-0360    1.3441549     14.363      0.295      0.180     13.301      0.257      0.172     -0.059      0.057     -0.156     -0.234
OGLE-LMC-CEP-0361    0.4654287     16.272      0.435      0.219     15.575      0.424      0.221      0.015     -0.045     -0.037      0.025
OGLE-LMC-CEP-0362    0.4807161     16.201      0.453      0.238     15.473      0.462      0.238      0.060     -0.003      0.016      0.092
OGLE-LMC-CEP-0364    0.3674083     16.586      0.445      0.210     15.836      0.464      0.250      0.043     -0.075      0.077      0.130
OGLE-LMC-CEP-0365    0.0647164     17.310      0.340      0.206     16.653      0.392      0.181     -0.214     -0.097      0.224      0.080
OGLE-LMC-CEP-0366    0.9790669     14.404      0.340      0.129     13.617      0.337      0.138      0.137      0.066     -0.026     -0.024
OGLE-LMC-CEP-0369    0.5234820     16.162      0.428      0.214     15.360      0.414      0.219     -0.010     -0.067     -0.019      0.037
OGLE-LMC-CEP-0370    0.4280961     16.707      0.420      0.176     15.868      0.409      0.192     -0.046     -0.028      0.012      0.016
OGLE-LMC-CEP-0373    0.4595613     16.101      0.479      0.279     15.401      0.481      0.267     -0.021     -0.125      0.074      0.150
OGLE-LMC-CEP-0377    0.7956800     14.885      0.373      0.134     14.172      0.380      0.141      0.061      0.015      0.017     -0.007
OGLE-LMC-CEP-0378    0.4215581     16.358      0.468      0.247     15.606      0.484      0.269      0.193      0.102      0.058      0.145
OGLE-LMC-CEP-0380    0.8504891     15.666      0.099      0.048     14.707      0.145      0.039     -0.198      0.311      0.296     -0.135
OGLE-LMC-CEP-0382    0.4465627     16.479      0.393      0.172     15.677      0.392      0.167     -0.033     -0.048      0.024      0.016
OGLE-LMC-CEP-0384    0.5031864     16.163      0.439      0.217     15.403      0.448      0.236     -0.004     -0.075     -0.022      0.058
