#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-2572    0.6446751     15.449      0.432      0.213     14.814      0.427      0.196      0.081      0.028     -0.127     -0.027
OGLE-LMC-CEP-2573    0.4321113     16.246      0.545      0.313     15.557      0.498      0.280     -0.065     -0.164      0.098      0.171
OGLE-LMC-CEP-2574    0.4358009     16.370      0.484      0.274     15.618      0.475      0.269     -0.038     -0.137      0.082      0.147
OGLE-LMC-CEP-2576    0.5044144     15.971      0.415      0.224     15.275      0.411      0.215     -0.005     -0.064      0.018      0.048
OGLE-LMC-CEP-2577    0.5761610     15.846      0.414      0.198     15.137      0.418      0.205      0.084     -0.009     -0.078      0.011
OGLE-LMC-CEP-2580    0.4708489     16.211      0.404      0.197     15.448      0.388      0.185     -0.035     -0.083      0.049      0.062
OGLE-LMC-CEP-2582    0.6176179     15.850      0.423      0.181     15.049      0.433      0.226      0.106      0.009     -0.046      0.068
OGLE-LMC-CEP-2585    0.5615884     15.804      0.417      0.228     15.137      0.410      0.213      0.036     -0.048     -0.011      0.051
OGLE-LMC-CEP-2589    0.4596362     16.098      0.406      0.186     15.391      0.422      0.207     -0.012     -0.074      0.030      0.073
OGLE-LMC-CEP-2592    0.5376914     15.928      0.422      0.215     15.225      0.428      0.230     -0.004     -0.078     -0.053      0.044
OGLE-LMC-CEP-2594    0.5569066     16.157      0.426      0.198     15.305      0.429      0.221      0.096      0.008     -0.078      0.018
OGLE-LMC-CEP-2595    0.5238596     16.046      0.378      0.182     15.264      0.395      0.190      0.062     -0.021     -0.006      0.032
OGLE-LMC-CEP-2596    0.6892186     15.537      0.429      0.201     14.757      0.426      0.198      0.151      0.055     -0.141     -0.017
OGLE-LMC-CEP-2598    0.7279982     15.586      0.436      0.147     14.768      0.421      0.145      0.202      0.105     -0.210     -0.079
OGLE-LMC-CEP-2600    0.6699710     15.514      0.443      0.196     14.801      0.426      0.188      0.122      0.025     -0.142     -0.026
OGLE-LMC-CEP-2601    0.4518756     16.900      0.498      0.266     15.878      0.504      0.296     -0.049     -0.161      0.067      0.173
OGLE-LMC-CEP-2604    0.7274920     15.549      0.414      0.152     14.784      0.419      0.152      0.242      0.131     -0.199     -0.046
OGLE-LMC-CEP-2608    0.6968718     15.526      0.531      0.249     14.817      0.455      0.205      0.168      0.093     -0.175     -0.016
OGLE-LMC-CEP-2609    0.4665775     16.210      0.405      0.211     15.475      0.410      0.201     -0.019     -0.054      0.005      0.045
OGLE-LMC-CEP-2610    0.7936113     15.371      0.429      0.166     14.468      0.429      0.179      0.198      0.056     -0.161     -0.015
OGLE-LMC-CEP-2611    0.6747911     15.598      0.445      0.189     14.844      0.435      0.202      0.109      0.008     -0.121      0.009
OGLE-LMC-CEP-2612    0.7522293     15.490      0.426      0.185     14.606      0.423      0.180      0.157      0.091     -0.171     -0.064
OGLE-LMC-CEP-2615    0.7465479     15.534      0.315      0.050     14.691      0.307      0.053      0.038      0.128     -0.062     -0.164
OGLE-LMC-CEP-2620    0.5943105     15.793      0.433      0.225     15.038      0.435      0.217      0.012     -0.053     -0.044      0.044
OGLE-LMC-CEP-2623    0.5553061     16.361      0.455      0.265     15.387      0.466      0.278      0.041     -0.072      0.019      0.133
OGLE-LMC-CEP-2624    0.4200398     16.391      0.406      0.168     15.647      0.408      0.181     -0.077     -0.058      0.034      0.021
OGLE-LMC-CEP-2625    0.5705371     15.998      0.438      0.219     15.199      0.460      0.239      0.101      0.034     -0.058      0.040
OGLE-LMC-CEP-2628    0.4131937     16.364      0.439      0.232     15.616      0.460      0.249      0.004     -0.076      0.043      0.107
OGLE-LMC-CEP-2629    0.4990237     16.132      0.389      0.187     15.369      0.378      0.188     -0.003     -0.044      0.064      0.045
OGLE-LMC-CEP-2632    0.8019465     15.344      0.112      0.016     14.558      0.151      0.064     -0.409      0.268      0.246     -0.326
OGLE-LMC-CEP-2633    0.4977334     16.211      0.436      0.237     15.411      0.426      0.230      0.020     -0.071      0.008      0.078
OGLE-LMC-CEP-2634    0.5259754     16.284      0.390      0.182     15.422      0.399      0.190     -0.010     -0.040      0.018      0.031
OGLE-LMC-CEP-2635    0.7974050     15.338      0.277      0.048     14.489      0.330      0.060      0.194      0.161     -0.103     -0.167
OGLE-LMC-CEP-2636    1.1527886     14.441      0.240      0.184     13.498      0.238      0.140      0.003     -0.114     -0.028      0.134
OGLE-LMC-CEP-2637    0.5725422     15.857      0.441      0.240     15.097      0.442      0.242      0.019     -0.077     -0.020      0.058
OGLE-LMC-CEP-2638    0.6674987     15.750      0.487      0.241     14.931      0.463      0.252      0.119      0.023     -0.116      0.033
OGLE-LMC-CEP-2641    0.6149901     15.903      0.396      0.179     15.101      0.394      0.182      0.077      0.011     -0.075     -0.017
OGLE-LMC-CEP-2643    0.1104990     17.212      0.312      0.128     16.493      0.305      0.135     -0.294     -0.100      0.349      0.056
OGLE-LMC-CEP-2644    0.3782784     18.437      0.388      0.143     17.017      0.417      0.213     -0.064     -0.106      0.306      0.295
OGLE-LMC-CEP-2646    0.6068242     15.951      0.445      0.214     15.120      0.430      0.218      0.067     -0.027     -0.090      0.016
OGLE-LMC-CEP-2648    0.7035418     15.645      0.450      0.191     14.803      0.444      0.192      0.152      0.035     -0.141      0.001
OGLE-LMC-CEP-2650    0.5145045     16.162      0.398      0.192     15.344      0.398      0.199      0.033     -0.052     -0.013      0.028
OGLE-LMC-CEP-2653    0.4960285     17.067      0.473      0.250     16.000      0.455      0.251     -0.023     -0.127      0.064      0.129
OGLE-LMC-CEP-2655    0.6428892     15.916      0.450      0.246     15.074      0.442      0.213      0.168      0.101     -0.121      0.004
OGLE-LMC-CEP-2657    0.5015016     16.273      0.407      0.209     15.469      0.414      0.211      0.024     -0.058     -0.044      0.025
OGLE-LMC-CEP-2659    0.6334017     16.085      0.416      0.192     15.180      0.424      0.198      0.137      0.079     -0.122     -0.023
OGLE-LMC-CEP-2660    0.6686070     15.803      0.439      0.201     14.988      0.454      0.215      0.277      0.115     -0.090      0.041
OGLE-LMC-CEP-2663    0.6267133     15.880      0.444      0.221     15.053      0.443      0.223      0.124      0.038     -0.112     -0.000
OGLE-LMC-CEP-2664    0.5616050     16.078      0.391      0.182     15.238      0.385      0.189      0.063     -0.009     -0.014      0.012
OGLE-LMC-CEP-2668    0.6830770     15.649      0.469      0.234     14.847      0.467      0.220      0.138      0.015     -0.122      0.034
OGLE-LMC-CEP-2669    0.6138357     15.408      0.455      0.212     14.298      0.447      0.217      0.012     -0.038     -0.035      0.043
OGLE-LMC-CEP-2674    0.4519119     16.573      0.406      0.154     15.724      0.384      0.156     -0.086     -0.034      0.093      0.019
OGLE-LMC-CEP-2675    0.8361140     17.197      0.348      0.090     15.693      0.391      0.132      0.241      0.151     -0.194     -0.066
OGLE-LMC-CEP-2676    0.7745312     15.329      0.383      0.169     14.477      0.368      0.163      0.125      0.039     -0.083     -0.040
OGLE-LMC-CEP-2680    0.5272835     16.371      0.465      0.270     15.476      0.443      0.251      0.007     -0.088      0.023      0.112
OGLE-LMC-CEP-2681    0.7409842     15.466      0.204      0.021     14.696      0.224      0.021     -0.088      0.130      0.045     -0.246
OGLE-LMC-CEP-2682    0.7622975     15.848      0.204      0.031     14.871      0.196      0.014     -0.167      0.196      0.151     -0.233
OGLE-LMC-CEP-2683    0.7287709     15.964      0.435      0.170     15.003      0.439      0.169      0.185      0.078     -0.197     -0.045
OGLE-LMC-CEP-2687    0.6217098     15.598      0.410      0.205     14.849      0.433      0.217      0.063     -0.027      0.008      0.078
OGLE-LMC-CEP-2688    0.4694540     17.494      0.439      0.255     16.225      0.453      0.243      0.042     -0.075     -0.019      0.087
OGLE-LMC-CEP-2689    0.6587927     16.333      0.246      0.052     15.301      0.243      0.044     -0.152      0.122      0.024     -0.218
OGLE-LMC-CEP-2694    0.7877288     15.632      0.370      0.106     14.708      0.366      0.097      0.184      0.138     -0.187     -0.110
OGLE-LMC-CEP-2697    0.5879240     16.376      0.401      0.187     15.407      0.411      0.193      0.069     -0.006     -0.087     -0.011
OGLE-LMC-CEP-2699    0.5596003     16.316      0.429      0.224     15.360      0.439      0.225      0.025     -0.038     -0.017      0.051
OGLE-LMC-CEP-2700    0.4769893     17.745      1.389      0.439     16.481      0.479      0.277      0.029     -0.006      0.009      0.121
OGLE-LMC-CEP-2702    0.4872588     16.580      0.361      0.179     15.679      0.373      0.182     -0.013     -0.040      0.035      0.015
OGLE-LMC-CEP-2703    0.5475756     16.239      0.404      0.197     15.371      0.403      0.200     -0.014     -0.047     -0.017      0.019
OGLE-LMC-CEP-2704    0.3141879     16.696      0.451      0.224     15.955      0.444      0.224     -0.041     -0.083      0.102      0.121
OGLE-LMC-CEP-2708    0.6136343     17.197      0.298      0.032     15.893      0.277      0.076      0.015      0.173      0.061     -0.127
OGLE-LMC-CEP-2710    0.4909895     16.381      0.446      0.266     15.552      0.440      0.241     -0.002     -0.090      0.034      0.100
OGLE-LMC-CEP-2711    0.5488883     16.173      0.460      0.235     15.477      0.451      0.235     -0.001     -0.067     -0.072      0.019
OGLE-LMC-CEP-2714    0.7102636     16.302      0.414      0.136     15.188      0.432      0.166      0.213      0.098     -0.199     -0.059
OGLE-LMC-CEP-2715    0.7161806     15.125      0.467      0.252     14.435      0.465      0.234      0.109     -0.042     -0.066      0.078
OGLE-LMC-CEP-2718    0.5381331     17.344      0.429      0.216     16.162      0.431      0.223      0.045     -0.013      0.013      0.077
OGLE-LMC-CEP-2721    0.6520021     15.885      0.299      0.085     15.058      0.288      0.078      0.023      0.140     -0.019     -0.155
OGLE-LMC-CEP-2725    0.7497316     16.447      0.443      0.169     15.222      0.429      0.164      0.156      0.057     -0.173     -0.035
OGLE-LMC-CEP-2726    0.5405178     18.298      0.446      0.233     16.565      0.441      0.234      0.010     -0.063     -0.030      0.062
OGLE-LMC-CEP-2728    0.4600137     16.117      0.490      0.137     15.373      0.517      0.310      0.006     -0.108      0.088      0.205
OGLE-LMC-CEP-2729    0.5049466     16.308      0.417      0.233     15.432      0.449      0.261      0.034     -0.101      0.048      0.107
OGLE-LMC-CEP-2731    0.5082518     16.006      0.449      0.278     15.306      0.468      0.273     -0.017     -0.107      0.016      0.122
OGLE-LMC-CEP-2733    0.3903070     16.332      0.496      0.304     15.643      0.496      0.278     -0.044     -0.108      0.107      0.163
OGLE-LMC-CEP-2734    0.3800841     16.581      0.461      0.230     15.781      0.475      0.249     -0.072     -0.128      0.064      0.125
OGLE-LMC-CEP-2736    0.5499845     16.052      0.431      0.250     15.225      0.419      0.225     -0.002     -0.086      0.003      0.059
OGLE-LMC-CEP-2738    0.4249633     16.382      0.497      0.270     15.628      0.493      0.278     -0.063     -0.155      0.050      0.142
OGLE-LMC-CEP-2740    0.5198270     16.371      0.456      0.275     15.483      0.443      0.235     -0.020     -0.107      0.056      0.118
OGLE-LMC-CEP-2742    0.5849710     16.194      0.456      0.236     15.256      0.447      0.239      0.112      0.009     -0.064      0.052
OGLE-LMC-CEP-2743    0.5532902     16.258      0.422      0.248     15.381      0.434      0.232      0.090      0.022     -0.035      0.068
OGLE-LMC-CEP-2744    0.8762641     15.163      0.314      0.208     14.256      0.309      0.211      0.232      0.108     -0.181     -0.060
OGLE-LMC-CEP-2745    0.5919278     17.344      0.445      0.229     16.005      0.436      0.228      0.067     -0.030     -0.091      0.024
OGLE-LMC-CEP-2747    0.6859104     16.108      0.294      0.111     15.099      0.327      0.085     -0.016      0.143     -0.002     -0.138
OGLE-LMC-CEP-2753    0.5371047     16.279      0.401      0.201     15.385      0.395      0.202      0.028     -0.042      0.023      0.060
OGLE-LMC-CEP-2757    0.7593179     16.120      0.316      0.055     15.061      0.305      0.047      0.081      0.123     -0.108     -0.188
OGLE-LMC-CEP-2760    0.6393465     17.586      0.455      0.210     16.198      0.460      0.224      0.143      0.044     -0.127      0.020
OGLE-LMC-CEP-2762    1.0618949     15.182      0.068      0.107     14.096      0.089      0.108     -0.398      0.200      0.374     -0.204
OGLE-LMC-CEP-2763    0.6035619     15.629      0.456      0.228     14.894      0.440      0.237      0.044     -0.068      0.044      0.104
OGLE-LMC-CEP-2764    0.4661184     17.396      0.448      0.240     16.104      0.435      0.233     -0.010     -0.077      0.089      0.116
OGLE-LMC-CEP-2765    0.9710581     15.813      0.136      0.115     14.564      0.143      0.090     -0.320      0.348      0.291     -0.298
OGLE-LMC-CEP-2766    0.5708628     17.231      0.411      0.204     15.920      0.421      0.207      0.064     -0.017     -0.059      0.053
OGLE-LMC-CEP-2768    0.6720154     16.050      0.449      0.197     15.108      0.428      0.187      0.131      0.059     -0.160     -0.047
OGLE-LMC-CEP-2772    0.4696379     16.493      0.451      0.255     15.698      0.457      0.258     -0.068     -0.123      0.117      0.162
OGLE-LMC-CEP-2773    0.5458834     17.168      0.435      0.249     15.962      0.429      0.235      0.035     -0.020     -0.055      0.047
OGLE-LMC-CEP-2774    0.5812863     16.863      0.342      0.122     15.737      0.350      0.127     -0.023      0.043     -0.068     -0.099
OGLE-LMC-CEP-2775    0.9010647     15.057      0.245      0.084     14.168      0.221      0.085      0.059      0.184     -0.018     -0.234
OGLE-LMC-CEP-2777    0.5076657     16.307      0.437      0.268     15.454      0.455      0.242      0.083     -0.008     -0.012      0.073
OGLE-LMC-CEP-2780    1.3638131     14.604      0.216      0.149     13.344      0.195      0.151     -0.139      0.084     -0.110     -0.203
OGLE-LMC-CEP-2781    0.4767065     16.724      0.427      0.239     15.738      0.431      0.220      0.040     -0.050     -0.010      0.057
OGLE-LMC-CEP-2783    0.5607430     17.211      0.399      0.197     15.921      0.402      0.197      0.053     -0.000     -0.020      0.028
OGLE-LMC-CEP-2784    0.5084348     16.195      0.450      0.267     15.353      0.466      0.275     -0.015     -0.114      0.052      0.143
OGLE-LMC-CEP-2785    0.6196871     16.014      0.438      0.204     15.139      0.432      0.216      0.079      0.012     -0.099     -0.003
OGLE-LMC-CEP-2791    0.5294220     16.644      0.293      0.083     15.680      0.301      0.094     -0.113      0.040     -0.112     -0.221
OGLE-LMC-CEP-2792    0.3778941     16.671      0.398      0.136     15.921      0.399      0.173     -0.064     -0.028      0.057      0.008
OGLE-LMC-CEP-2794    0.4316481     16.412      0.450      0.239     15.627      0.466      0.256     -0.049     -0.139      0.046      0.141
OGLE-LMC-CEP-2795    1.0019016     14.992      0.050      0.076     14.067      0.050      0.098     -0.056      0.302      0.163     -0.227
OGLE-LMC-CEP-2797    0.5901214     16.036      0.378      0.116     15.214      0.358      0.142      0.025      0.054     -0.022     -0.046
OGLE-LMC-CEP-2799    0.5403746     18.396      0.412      0.147     16.713      0.374      0.189      0.127      0.121     -0.209     -0.168
OGLE-LMC-CEP-2805    0.8187634     15.516      0.290      0.033     14.651      0.288      0.016      0.004      0.125     -0.089     -0.209
OGLE-LMC-CEP-2807    0.5892953     16.244      0.445      0.239     15.294      0.442      0.229      0.089     -0.019     -0.045      0.068
OGLE-LMC-CEP-2808    0.5615613     16.059      0.444      0.243     15.209      0.455      0.251      0.057     -0.032     -0.004      0.093
OGLE-LMC-CEP-2809    0.6701796     17.173      0.455      0.204     15.807      0.434      0.194      0.154      0.053     -0.144     -0.029
OGLE-LMC-CEP-2810    0.3563528     18.230      0.463      0.227     16.847      0.466      0.251     -0.085     -0.143     -0.043      0.010
OGLE-LMC-CEP-2811    0.5006303     16.899      0.425      0.229     15.771      0.430      0.231      0.034     -0.050     -0.022      0.058
OGLE-LMC-CEP-2812    0.9178054     15.019      0.332      0.119     14.200      0.345      0.125      0.237      0.123     -0.262     -0.113
OGLE-LMC-CEP-2813    0.8569083     15.837      0.370      0.210     14.716      0.362      0.211      0.228      0.091     -0.176     -0.037
OGLE-LMC-CEP-2817    0.6215196     15.965      0.361      0.140     15.124      0.311      0.122     -0.115     -0.019     -0.017     -0.060
OGLE-LMC-CEP-2818    0.5169616     16.198      0.385      0.157     15.375      0.385      0.170     -0.046     -0.016      0.040      0.009
OGLE-LMC-CEP-2819    0.6802695     16.128      0.296      0.096     15.141      0.269      0.064     -0.111      0.070      0.033     -0.168
OGLE-LMC-CEP-2821    0.3906595     16.379      0.500      0.257     15.694      0.495      0.282     -0.079     -0.167      0.109      0.173
OGLE-LMC-CEP-2823    0.4923340     16.487      0.415      0.205     15.589      0.438      0.242      0.038     -0.079      0.012      0.084
OGLE-LMC-CEP-2825    0.6131759     16.172      0.419      0.196     15.219      0.418      0.206      0.076     -0.009     -0.067      0.013
OGLE-LMC-CEP-2826    0.6823970     15.818      0.463      0.228     14.965      0.469      0.224      0.168      0.040     -0.153      0.007
OGLE-LMC-CEP-2827    0.6917240     16.071      0.428      0.183     15.097      0.425      0.180      0.162      0.051     -0.106     -0.009
OGLE-LMC-CEP-2828    0.6919882     15.806      0.440      0.204     14.908      0.436      0.198      0.121      0.019     -0.132     -0.009
OGLE-LMC-CEP-2829    0.4579899     16.327      0.410      0.214     15.525      0.431      0.212     -0.058     -0.114      0.040      0.078
OGLE-LMC-CEP-2830    0.5771719     15.917      0.453      0.252     15.200      0.449      0.240     -0.008     -0.084      0.008      0.097
OGLE-LMC-CEP-2831    0.6869342     15.776      0.422      0.174     14.926      0.411      0.162      0.162      0.091     -0.170     -0.068
OGLE-LMC-CEP-2833    0.4994484     16.303      0.484      0.238     15.533      0.457      0.238     -0.043     -0.082     -0.023      0.068
OGLE-LMC-CEP-2836    0.4907477     16.773      0.415      0.198     15.800      0.431      0.224      0.013     -0.031      0.030      0.082
OGLE-LMC-CEP-2837    0.5490683     16.486      0.424      0.250     15.513      0.444      0.233      0.042     -0.044     -0.061      0.038
OGLE-LMC-CEP-2839    0.4459739     16.926      0.401      0.168     15.932      0.401      0.184     -0.044     -0.034     -0.005      0.001
OGLE-LMC-CEP-2840    0.5795348     15.963      0.463      0.272     15.147      0.454      0.249      0.037     -0.051     -0.019      0.088
OGLE-LMC-CEP-2841    0.7448599     17.328      0.361      0.047     15.717      0.304      0.077     -0.014      0.100     -0.081     -0.196
OGLE-LMC-CEP-2842    0.4910544     16.393      0.456      0.258     15.560      0.473      0.261     -0.015     -0.100      0.002      0.101
OGLE-LMC-CEP-2844    0.5295828     16.372      0.308      0.111     15.502      0.317      0.105     -0.150      0.002      0.079     -0.098
OGLE-LMC-CEP-2846    0.5543350     16.211      0.443      0.242     15.322      0.441      0.224     -0.005     -0.065     -0.014      0.086
OGLE-LMC-CEP-2848    0.5156509     16.280      0.469      0.263     15.458      0.463      0.260     -0.005     -0.069     -0.050      0.059
OGLE-LMC-CEP-2849    0.5756001     16.983      0.283      0.030     15.749      0.288      0.064     -0.169      0.016      0.047     -0.091
OGLE-LMC-CEP-2852    0.7246133     15.972      0.452      0.178     15.011      0.442      0.184      0.189      0.072     -0.195     -0.038
OGLE-LMC-CEP-2854    0.6399640     17.546      0.391      0.212     16.199      0.406      0.183      0.078      0.077     -0.148     -0.073
OGLE-LMC-CEP-2856    0.5503154     16.120      0.403      0.180     15.336      0.401      0.178      0.016     -0.011     -0.009      0.015
OGLE-LMC-CEP-2859    0.4615271     16.310      0.424      0.198     15.549      0.418      0.210     -0.043     -0.077      0.080      0.093
OGLE-LMC-CEP-2862    0.4837798     16.277      0.413      0.232     15.515      0.431      0.226      0.035     -0.040      0.031      0.097
OGLE-LMC-CEP-2864    0.7972683     15.846      0.224      0.042     14.825      0.239      0.023     -0.020      0.182     -0.010     -0.225
OGLE-LMC-CEP-2865    0.4285362     16.374      0.437      0.216     15.598      0.426      0.233     -0.025     -0.096      0.085      0.130
OGLE-LMC-CEP-2866    0.8204197     15.463      0.275      0.079     14.579      0.266      0.069      0.180      0.232     -0.150     -0.211
OGLE-LMC-CEP-2870    0.5969444     15.996      0.454      0.240     15.193      0.457      0.236      0.126      0.042     -0.054      0.058
OGLE-LMC-CEP-2871    0.8027595     15.461      0.461      0.161     14.561      0.426      0.161      0.221      0.069     -0.194     -0.031
OGLE-LMC-CEP-2873    0.5114313     16.057      0.480      0.299     15.326      0.469      0.287     -0.013     -0.122      0.090      0.176
OGLE-LMC-CEP-2874    0.6145861     15.925      0.425      0.220     15.093      0.441      0.222      0.072     -0.021     -0.099      0.020
OGLE-LMC-CEP-2876    0.7331100     15.804      0.413      0.142     14.897      0.415      0.140      0.171      0.104     -0.232     -0.107
OGLE-LMC-CEP-2878    0.5059761     16.461      0.399      0.187     15.612      0.402      0.178     -0.022     -0.019      0.010      0.018
OGLE-LMC-CEP-2879    0.4708107     16.639      0.401      0.188     15.689      0.413      0.193     -0.101     -0.110      0.077      0.075
OGLE-LMC-CEP-2880    0.5432774     17.202      0.460      0.282     16.063      0.448      0.242      0.060     -0.028     -0.090      0.030
OGLE-LMC-CEP-2881    0.4620243     17.055      0.380      0.180     16.028      0.387      0.180     -0.082     -0.032      0.053      0.021
OGLE-LMC-CEP-2884    0.9882573     15.056      0.161      0.143     14.066      0.174      0.145     -0.485      0.276      0.556     -0.163
OGLE-LMC-CEP-2885    0.6220602     16.357      0.336      0.084     15.384      0.335      0.106     -0.024      0.074      0.016     -0.092
OGLE-LMC-CEP-2886    0.5212476     16.547      0.301      0.086     15.594      0.302      0.085     -0.132      0.016      0.103     -0.098
OGLE-LMC-CEP-2888    0.5359119     16.028      0.402      0.213     15.248      0.402      0.211      0.022     -0.055     -0.005      0.053
OGLE-LMC-CEP-2889    0.5841223     16.270      0.404      0.177     15.371      0.392      0.170      0.027      0.023     -0.106     -0.061
OGLE-LMC-CEP-2890    0.4210587     16.433      0.474      0.272     15.657      0.482      0.266     -0.018     -0.108      0.109      0.165
OGLE-LMC-CEP-2891    0.3839427     16.742      0.461      0.243     15.887      0.468      0.253     -0.088     -0.146      0.124      0.143
OGLE-LMC-CEP-2892    0.6355756     16.099      0.316      0.104     15.188      0.312      0.098     -0.003      0.101     -0.011     -0.131
OGLE-LMC-CEP-2893    0.7260935     15.472      0.394      0.127     14.711      0.397      0.122      0.125      0.086     -0.129     -0.059
OGLE-LMC-CEP-2894    0.6807213     16.241      0.360      0.137     15.208      0.362      0.143      0.034      0.059     -0.095     -0.101
OGLE-LMC-CEP-2897    0.3491081     16.715      0.452      0.244     15.934      0.464      0.246     -0.098     -0.121      0.095      0.124
OGLE-LMC-CEP-2898    0.3240423     16.562      0.493      0.309     15.827      0.472      0.259     -0.072     -0.134      0.100      0.119
OGLE-LMC-CEP-2900    0.4917225     16.215      0.425      0.251     15.433      0.424      0.232      0.003     -0.061      0.035      0.091
OGLE-LMC-CEP-2903    0.6390974     15.561      0.469      0.261     14.826      0.463      0.247      0.076     -0.045     -0.076      0.065
OGLE-LMC-CEP-2904    0.7361854     15.351      0.442      0.185     14.594      0.436      0.186      0.115      0.027     -0.104      0.010
OGLE-LMC-CEP-2905    0.6086177     15.745      0.411      0.202     15.019      0.415      0.198      0.076     -0.016     -0.063      0.025
OGLE-LMC-CEP-2907    0.4808607     16.487      0.470      0.235     15.623      0.458      0.251      0.026     -0.061     -0.005      0.093
OGLE-LMC-CEP-2909    0.8647097     15.664      0.171      0.009     14.733      0.160      0.017     -0.370      0.351      0.327     -0.349
OGLE-LMC-CEP-2910    0.7082978     15.599      0.450      0.182     14.841      0.445      0.185      0.169      0.045     -0.174     -0.016
OGLE-LMC-CEP-2911    1.0507778     14.286      0.055      0.010     13.606      0.051      0.011     -0.573      0.163      0.570     -0.172
OGLE-LMC-CEP-2913    0.5245194     16.344      0.419      0.193     15.467      0.426      0.207     -0.020     -0.049     -0.011      0.020
OGLE-LMC-CEP-2915    0.6019913     16.042      0.453      0.210     15.174      0.435      0.218      0.071     -0.040     -0.105      0.020
OGLE-LMC-CEP-2917    1.0586544     14.569      0.162      0.091     13.747      0.214      0.134     -0.041      0.310      0.318     -0.023
OGLE-LMC-CEP-2918    0.5482216     16.225      0.433      0.186     15.367      0.418      0.192      0.019      0.002     -0.053     -0.007
OGLE-LMC-CEP-2922    1.1061974     14.317      0.282      0.192     13.541      0.287      0.187      0.026     -0.020      0.089      0.097
OGLE-LMC-CEP-2925    0.3999129     16.576      0.461      0.233     15.728      0.464      0.237     -0.038     -0.122      0.089      0.121
OGLE-LMC-CEP-2926    0.5663653     16.147      0.418      0.184     15.300      0.407      0.192     -0.001     -0.022     -0.039     -0.013
OGLE-LMC-CEP-2927    0.4008396     16.649      0.404      0.167     15.839      0.417      0.176     -0.101     -0.071      0.066      0.038
OGLE-LMC-CEP-2928    0.6089799     15.913      0.448      0.234     15.094      0.457      0.235      0.098     -0.023     -0.111      0.036
OGLE-LMC-CEP-2930    0.6659057     15.846      0.469      0.196     14.972      0.448      0.207      0.135      0.009     -0.105      0.028
OGLE-LMC-CEP-2931    0.5321243     17.417      0.442      0.229     16.119      0.452      0.227      0.034     -0.011     -0.040      0.047
OGLE-LMC-CEP-2933    0.4376307     16.542      0.460      0.260     15.706      0.480      0.248     -0.070     -0.137      0.008      0.086
OGLE-LMC-CEP-2934    0.8199964     15.772      0.417      0.151     14.715      0.405      0.168      0.217      0.083     -0.197     -0.049
OGLE-LMC-CEP-2936    0.6744400     15.676      0.472      0.229     14.895      0.466      0.223      0.129      0.035     -0.160      0.004
OGLE-LMC-CEP-2937    1.2084991     14.868      0.329      0.221     13.632      0.312      0.190      0.153     -0.092     -0.269      0.102
OGLE-LMC-CEP-2938    0.6162669     15.982      0.292      0.080     15.139      0.283      0.072     -0.096      0.081      0.041     -0.166
OGLE-LMC-CEP-2939    0.6405329     16.219      0.458      0.226     15.255      0.457      0.228      0.166      0.045     -0.106      0.040
OGLE-LMC-CEP-2941    0.5702692     16.042      0.427      0.213     15.198      0.432      0.212     -0.015     -0.057     -0.009      0.041
OGLE-LMC-CEP-2942    0.4660500     16.339      0.449      0.254     15.522      0.459      0.259     -0.045     -0.132      0.085      0.135
OGLE-LMC-CEP-2943    0.4949761     16.187      0.453      0.267     15.398      0.447      0.254      0.054     -0.047      0.008      0.095
OGLE-LMC-CEP-2944    1.3079157     14.344      0.260      0.175     13.364      0.221      0.162      0.042      0.134     -0.101     -0.181
OGLE-LMC-CEP-2946    0.2980068     16.692      0.412      0.196     15.960      0.402      0.195     -0.114     -0.084      0.115      0.034
OGLE-LMC-CEP-2947    0.4321742     16.388      0.481      0.259     15.638      0.467      0.255     -0.052     -0.107      0.057      0.127
OGLE-LMC-CEP-2949    1.2838042     14.138      0.251      0.099     13.068      0.220      0.147      0.211      0.112     -0.184     -0.029
OGLE-LMC-CEP-2950    0.5229588     16.117      0.445      0.246     15.318      0.462      0.261     -0.019     -0.078      0.035      0.113
OGLE-LMC-CEP-2951    0.6580662     15.965      0.369      0.139     15.072      0.376      0.147      0.007      0.017     -0.047     -0.040
OGLE-LMC-CEP-2952    0.5051463     16.291      0.434      0.206     15.483      0.428      0.226     -0.007     -0.078      0.028      0.093
OGLE-LMC-CEP-2953    0.5623960     15.868      0.438      0.225     15.130      0.421      0.220      0.006     -0.073     -0.015      0.056
OGLE-LMC-CEP-2954    0.4441720     16.500      0.498      0.282     15.606      0.484      0.270     -0.019     -0.113      0.075      0.157
OGLE-LMC-CEP-2956    0.5412840     16.282      0.446      0.256     15.382      0.449      0.260      0.030     -0.082      0.033      0.113
OGLE-LMC-CEP-2957    0.4376361     16.637      0.428      0.223     15.749      0.425      0.202     -0.124     -0.065      0.021      0.025
OGLE-LMC-CEP-2958    0.4893392     16.570      0.433      0.210     15.649      0.429      0.214      0.039      0.005     -0.011      0.043
OGLE-LMC-CEP-2964    0.4740488     15.911      0.451      0.237     15.253      0.445      0.248     -0.014     -0.114      0.078      0.127
OGLE-LMC-CEP-2966    0.4614671     16.412      0.447      0.276     15.576      0.476      0.273      0.007     -0.107      0.021      0.128
